
--- 2019-01-08 17:13:45 Logging Started on ---
17:13:45 [D] Plugin Load file path,D:\Downloads\VideoSDK_win32\VideoSDK_win32\bin\play_ctrl_config.xml, -2104190781!  [CPluginMgr::StaticLoadPlugins:260]
17:13:45 [I] delayload [play_plugins/hik_play_plugin/hik_play_plugin.dll]  [CPluginMgr::StaticLoadPlugins:293]
17:13:45 [D] ProcPluginLoad, Plugin: hik  [CPluginMgr::LoadPlugin:582]
17:13:45 [D] Plugin Load Success, pszProcName:hik!  [CPluginMgr::LoadPlugin:739]
17:13:45 [I] delayload [play_plugins/dahua_play_plugin/dahua_play_plugin.dll]  [CPluginMgr::StaticLoadPlugins:293]
17:13:45 [D] ProcPluginLoad, Plugin: dahua  [CPluginMgr::LoadPlugin:582]
17:13:45 [D] Plugin Load Success, pszProcName:dahua!  [CPluginMgr::LoadPlugin:739]
17:13:45 [I] delayload [play_plugins/chengfeng_play_plugin/chengfeng_play_plugin.dll]  [CPluginMgr::StaticLoadPlugins:293]
17:13:45 [D] ProcPluginLoad, Plugin: chengfeng  [CPluginMgr::LoadPlugin:582]
17:13:45 [D] Plugin Load Success, pszProcName:chengfeng!  [CPluginMgr::LoadPlugin:739]
17:13:45 [I] delayload [play_plugins/db33_play_plugin/db33_play_plugin.dll]  [CPluginMgr::StaticLoadPlugins:293]
17:13:45 [D] ProcPluginLoad, Plugin: db33  [CPluginMgr::LoadPlugin:582]
17:13:45 [D] Plugin Load Success, pszProcName:db33!  [CPluginMgr::LoadPlugin:739]
17:13:45 [I] delayload [play_plugins/infinova_play_plugin/infinova_play_plugin.dll]  [CPluginMgr::StaticLoadPlugins:293]
17:13:45 [D] ProcPluginLoad, Plugin: infinova  [CPluginMgr::LoadPlugin:582]
17:13:45 [D] Plugin Load Success, pszProcName:infinova!  [CPluginMgr::LoadPlugin:739]
17:13:45 [I] delayload [play_plugins/hb_play_plugin/hb_play_plugin.dll]  [CPluginMgr::StaticLoadPlugins:293]
17:13:45 [D] ProcPluginLoad, Plugin: hb  [CPluginMgr::LoadPlugin:582]
17:13:45 [D] Plugin Load Success, pszProcName:hb!  [CPluginMgr::LoadPlugin:739]
17:13:45 [D] Vag playctrl sdk init success!  [VPLAY_Init:108]
